"";"tipo_veiculo";"nome_montadora";"marca";"mes_ano";"qtd_licenciada";"mes";"ano"
"1";"Automóveis";"Audi";"Audi";"jan_22";470;"jan";2022
"2";"Automóveis";"Audi";"Audi";"fev_22";293;"fev";2022
"3";"Automóveis";"Audi";"Audi";"mar_22";278;"mar";2022
"4";"Automóveis";"Audi";"Audi";"abr_22";214;"abr";2022
"5";"Automóveis";"Audi";"Audi";"mai_22";381;"mai";2022
"6";"Automóveis";"Audi";"Audi";"jun_22";308;"jun";2022
"7";"Automóveis";"Audi";"Audi";"jul_22";445;"jul";2022
"8";"Automóveis";"Audi";"Audi";"ago_22";565;"ago";2022
"9";"Automóveis";"Audi";"Audi";"set_22";NA;"set";2022
"10";"Automóveis";"Audi";"Audi";"out_22";NA;"out";2022
"11";"Automóveis";"Audi";"Audi";"nov_22";NA;"nov";2022
"12";"Automóveis";"Audi";"Audi";"dez_22";NA;"dez";2022
"13";"Automóveis";"Audi";"Audi";"jan_21";457;"jan";2021
"14";"Automóveis";"Audi";"Audi";"fev_21";652;"fev";2021
"15";"Automóveis";"Audi";"Audi";"mar_21";420;"mar";2021
"16";"Automóveis";"Audi";"Audi";"abr_21";407;"abr";2021
"17";"Automóveis";"Audi";"Audi";"mai_21";415;"mai";2021
"18";"Automóveis";"Audi";"Audi";"jun_21";551;"jun";2021
"19";"Automóveis";"Audi";"Audi";"jul_21";666;"jul";2021
"20";"Automóveis";"Audi";"Audi";"ago_21";617;"ago";2021
"21";"Automóveis";"Audi";"Audi";"set_21";625;"set";2021
"22";"Automóveis";"Audi";"Audi";"out_21";505;"out";2021
"23";"Automóveis";"Audi";"Audi";"nov_21";432;"nov";2021
"24";"Automóveis";"Audi";"Audi";"dez_21";513;"dez";2021
"25";"Automóveis";"Audi";"Audi";"jan_20";406;"jan";2020
"26";"Automóveis";"Audi";"Audi";"fev_20";830;"fev";2020
"27";"Automóveis";"Audi";"Audi";"mar_20";376;"mar";2020
"28";"Automóveis";"Audi";"Audi";"abr_20";126;"abr";2020
"29";"Automóveis";"Audi";"Audi";"mai_20";256;"mai";2020
"30";"Automóveis";"Audi";"Audi";"jun_20";669;"jun";2020
"31";"Automóveis";"Audi";"Audi";"jul_20";595;"jul";2020
"32";"Automóveis";"Audi";"Audi";"ago_20";661;"ago";2020
"33";"Automóveis";"Audi";"Audi";"set_20";785;"set";2020
"34";"Automóveis";"Audi";"Audi";"out_20";858;"out";2020
"35";"Automóveis";"Audi";"Audi";"nov_20";686;"nov";2020
"36";"Automóveis";"Audi";"Audi";"dez_20";708;"dez";2020
"37";"Automóveis";"BMW";"BMW";"jan_22";656;"jan";2022
"38";"Automóveis";"BMW";"BMW";"fev_22";876;"fev";2022
"39";"Automóveis";"BMW";"BMW";"mar_22";1234;"mar";2022
"40";"Automóveis";"BMW";"BMW";"abr_22";1108;"abr";2022
"41";"Automóveis";"BMW";"BMW";"mai_22";1293;"mai";2022
"42";"Automóveis";"BMW";"BMW";"jun_22";1568;"jun";2022
"43";"Automóveis";"BMW";"BMW";"jul_22";1269;"jul";2022
"44";"Automóveis";"BMW";"BMW";"ago_22";1380;"ago";2022
"45";"Automóveis";"BMW";"BMW";"set_22";NA;"set";2022
"46";"Automóveis";"BMW";"BMW";"out_22";NA;"out";2022
"47";"Automóveis";"BMW";"BMW";"nov_22";NA;"nov";2022
"48";"Automóveis";"BMW";"BMW";"dez_22";NA;"dez";2022
"49";"Automóveis";"BMW";"BMW";"jan_21";796;"jan";2021
"50";"Automóveis";"BMW";"BMW";"fev_21";845;"fev";2021
"51";"Automóveis";"BMW";"BMW";"mar_21";1142;"mar";2021
"52";"Automóveis";"BMW";"BMW";"abr_21";1111;"abr";2021
"53";"Automóveis";"BMW";"BMW";"mai_21";1263;"mai";2021
"54";"Automóveis";"BMW";"BMW";"jun_21";1420;"jun";2021
